url,crawl_status,status_code,content_type,h1,h2,page_title,meta_description,canonical_tag,robots_txt,redirect_url,meta_robots,x_robots_tag
https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiPFSkRbAMBf5vz06rjWXaM-81F3CNSQz6dNTDFtV9bb4VwlrrmG5HOn0PtoBhMF-L54LELpNw,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil&ifkv=AdBytiOUrPP_A4gDY59M8KKy7QSBPzJAYaLq9KrU2WO65RU4fQL32RDaO-_6UHWG4HvpsBP27XtBGA&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S857050541%3A1748820586582277,,
https://www.blogger.com/post-edit.g?blogID=3928496115469874446&postID=5875723303153698814&from=pencil,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=3308237818814214664&target=email,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://www.mediafire.com/file/ou54c9vu9849inm/Anandamela+Pujabarshiki+1423+%28Amarboi.com%29.pdf,forbidden,403,text/html; charset=UTF-8,,,,,,allowed,,,
http://download1939.mediafire.com/cdumm9v7ch2g/ou54c9vu9849inm/Anandamela+Pujabarshiki+1423+%28Amarboi.com%29.pdf,found,302,text/html,,,,,,allowed,https://www.mediafire.com/file/ou54c9vu9849inm/Anandamela+Pujabarshiki+1423+%28Amarboi.com%29.pdf,,
https://banglapdfall.blogspot.com/2015/09/blog-post_27.html,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books,,http://banglapdfall.blogspot.com/2015/09/blog-post_27.html,allowed,,,
https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiduG8dE8EidhFMalWhjfNXN0PNWVOr5cENPzEftboZ09LYrXw1uxce9L0_oA4p_IbubbiLsInJikZwemb2cfI3Gt2pQC2cuUo02uUFRgc8SFUtIcwnKIFU0p-bXHASgSgnzyr27mcBld3G/s1600/IMG_0001.jpg,ok,200,image/jpeg,,,,,,allowed,,,
https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil&ifkv=AdBytiODMzYmBHFpDQA2QjZ7zp8aeXlbe9Bu4tUWM0uTHI5JBJrGpEzcofz-bdUUQevEDKmJiVi3OA&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1640843120%3A1748820586977092,ok,200,text/html; charset=utf-8,,,,,,allowed,,,
https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil,found,302,application/binary,,,,,,allowed,https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiNHGZ1RFSnR94WQ31r3ehW7RbIcldWum2przWp3-OS9-cGuHOWDX71UZoRAxlVGoWoHP-u4rQ,,
https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiNHGZ1RFSnR94WQ31r3ehW7RbIcldWum2przWp3-OS9-cGuHOWDX71UZoRAxlVGoWoHP-u4rQ,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D5561094624720320226%26from%3Dpencil&ifkv=AdBytiODMzYmBHFpDQA2QjZ7zp8aeXlbe9Bu4tUWM0uTHI5JBJrGpEzcofz-bdUUQevEDKmJiVi3OA&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1640843120%3A1748820586977092,,
