url,crawl_status,status_code,content_type,h1,page_title,meta_description,canonical_tag,robots_txt,redirect_url,meta_robots,x_robots_tag
http://ebooksworldbd.blogspot.com/2014/11/all-western-books-from-sheba-prokashoni.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: All Western Books From Sheba Prokashoni,,http://ebooksworldbd.blogspot.com/2014/11/all-western-books-from-sheba-prokashoni.html,allowed,,,
http://ebooksworldbd.blogspot.com/2014/06/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: June 2014,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2014/06/,allowed,,,
http://ebooksworldbd.blogspot.com/2016/07/download-bangla-best-horror-books-free.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: Download Bangla Best Horror Books Free,,http://ebooksworldbd.blogspot.com/2016/07/download-bangla-best-horror-books-free.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: 2016,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2016/,allowed,,,
http://ebooksworldbd.blogspot.com/2016/01/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: January 2016,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2016/01/,allowed,,,
http://ebooksworldbd.blogspot.com/2014/05/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: May 2014,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2014/05/,allowed,,,
http://ebooksworldbd.blogspot.com/2014/03/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: March 2014,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2014/03/,allowed,,,
http://ebooksworldbd.blogspot.com/2014/09/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: September 2014,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2014/09/,allowed,,,
http://ebooksworldbd.blogspot.com/2015/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: 2015,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2015/,allowed,,,
http://ebooksworldbd.blogspot.com/2014/04/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: April 2014,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2014/04/,allowed,,,
